0,"country, state, department, canton or other administrative division of which the municipality is the governmental seat"
4,academic degree that the person holds
3,status given to each mineral by the IMA (International Mineralogical Association)
18,(list of) direct subdivisions of an administrative territorial entity
5,"twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments"
19,"the place where the person is or has been, resident"
1,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity.
21,significant or notable events associated with the subject
13,heritage designation of a cultural or natural site
14,subject currently or formerly holds the object position or public office
6,sovereign state of this item (not to be used for human beings)
22,sports teams or clubs that the subject represents or represented
15,that class of which this subject is a particular example and member; different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain (and an instance of volcanic landform)
7,"head of the executive power of this town, city, municipality, state, country, or other governmental body"
20,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))"
2,title awarded by a chess federation to a person
9,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)."
16,"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles"
10,person or organization for which the subject works or worked
23,educational institution attended by subject
17,"award or recognition received by a person, organization or creative work"
11,the political party of which a person is or has been a member or otherwise affiliated
12,the object is a country that recognizes the subject as its citizen
8,"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions"
